p;L;L(p);R(p);T(p)
80;150;1.11333;0.00666667;1.00000
80;150;1.10667;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.05333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.09333;0.00666667;1.00000
80;150;1.08;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.07333;0.00666667;1.00000
80;150;1.07333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.06667;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.07333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.11333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.06667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.12;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.11333;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.11333;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.12;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.12667;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.12667;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;0.113333;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.12;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0.00666667;2.00000
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.11333;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.06667;0;-1.#IND0
80;150;1.06667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.12667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.12;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0.00666667;2.00000
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.12;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.12;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.06667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;2.00000
80;150;1.1;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.07333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.07333;0.00666667;2.00000
80;150;1.10667;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.06667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.11333;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.12667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.06;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;2.00000
80;150;1.09333;0;-1.#IND0
80;150;1.12;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.07333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.08;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.08667;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.07333;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0.00666667;1.00000
80;150;1.08667;0.00666667;1.00000
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.1;0;-1.#IND0
80;150;1.10667;0.00666667;1.00000
80;150;1.10667;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.08667;0.00666667;1.00000
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.08667;0;-1.#IND0
80;150;1.1;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12667;0;-1.#IND0
80;150;1.09333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.08667;0;-1.#IND0
80;150;1.11333;0.00666667;1.00000
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.12;0;-1.#IND0
80;150;1.09333;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
80;150;1.1;0;-1.#IND0
80;150;1.10667;0;-1.#IND0
