p;L;L(p);R(p);T(p)
85;100;1.04;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.02;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.02;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.02;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.07;0.01;1.00000
85;100;1.04;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.02;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.08;0.01;1.00000
85;100;1.05;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.01;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.08;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.08;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.09;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.01;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.02;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.03;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.02;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.02;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.03;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0.01;1.00000
85;100;1.04;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.07;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.03;0.01;1.00000
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.08;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0.01;1.00000
85;100;1.04;0.01;1.00000
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.07;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.08;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.03;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.06;0.01;1.00000
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.07;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.05;0.01;1.00000
85;100;1.05;0;-1.#IND0
85;100;1.05;0;-1.#IND0
85;100;1.06;0;-1.#IND0
85;100;1.04;0;-1.#IND0
85;100;1.06;0.01;1.00000
